year,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name
2011,33.0915098995,-116.976998871,San Diego,California,United States,Anaxyrus californicus
2011,33.1585890672,-116.8455066355,San Diego,California,United States,Anaxyrus californicus
2011,33.0915482197,-116.9194068575,San Diego,California,United States,Anaxyrus californicus
2011,33.0585034371,-116.9062680382,San Diego,California,United States,Anaxyrus californicus
2014,33.0878607596,-116.8711264837,San Diego,California,United States,Anaxyrus californicus
2023,36.0540776373,-121.2812070542,Monterey,California,United States,Anaxyrus californicus
2023,32.1589081574,-116.1359802558,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2020,34.5187736518,-118.8128450092,Ventura,California,United States,Anaxyrus californicus
2020,34.5013204125,-118.9205881855,Ventura,California,United States,Anaxyrus californicus
2020,34.433765927,-118.9490724989,Ventura,California,United States,Anaxyrus californicus
2020,34.4415387373,-118.9358447036,Ventura,California,United States,Anaxyrus californicus
2023,32.8373082164,-116.4378420105,San Diego,California,United States,Anaxyrus californicus
2023,33.4527922022,-117.5371069014,Orange,California,United States,Anaxyrus californicus
2023,33.4646146545,-117.5854086604,Orange,California,United States,Anaxyrus californicus
2023,33.4072956491,-117.4547562738,Orange,California,United States,Anaxyrus californicus
2023,33.2545451512,-116.8006273328,San Diego,California,United States,Anaxyrus californicus
2023,31.020282,-115.4908539722,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2023,32.8279831235,-116.6255900291,San Diego,California,United States,Anaxyrus californicus
2023,33.4263836357,-117.3372184534,San Diego,California,United States,Anaxyrus californicus
2023,33.1030001748,-116.9013453809,San Diego,California,United States,Anaxyrus californicus
2023,33.3906031443,-116.7509829716,San Diego,California,United States,Anaxyrus californicus
2023,33.0699972179,-116.8167520156,San Diego,California,United States,Anaxyrus californicus
2023,33.0695481538,-116.8615381934,San Diego,California,United States,Anaxyrus californicus
2023,33.348437725,-116.6127642698,San Diego,California,United States,Anaxyrus californicus
2023,33.0214669949,-116.9847038482,San Diego,California,United States,Anaxyrus californicus
2023,33.0453451563,-116.9848510914,San Diego,California,United States,Anaxyrus californicus
